0	1	2	3	4	5
chr1	22884	23234	AT1G01040_1	1	+
chr1	32866	33216	AT1G01050_1	1	-
chr1	37528	37878	AT1G01060_1	1	-
chr1	40693	41043	AT1G01070_1	1	-
chr1	46575	46925	AT1G01080_1	1	-
chr1	49021	49371	AT1G01090_1	1	-
chr1	52606	52956	AT1G01110_1	1	+
chr1	58876	59226	AT1G01120_1	1	-
chr1	63564	63914	AT1G01130_1	1	-
chr1	67374	67724	AT1G01140_1	1	-
chr1	71865	72215	AT1G01150_1	1	-
chr1	72088	72438	AT1G01160_1	1	+
chr1	74480	74830	AT1G01170_1	1	-
chr1	84697	85047	AT1G01190_1	1	-
chr1	87963	88313	AT1G01200_1	1	-
chr1	88647	88997	AT1G01210_1	1	+
chr1	91137	91487	AT1G01220_1	1	+
chr1	95756	96106	AT1G01225_1	1	+
chr1	99654	100004	AT1G01240_1	1	+
chr1	112000	112350	AT1G01280_1	1	+
chr1	116783	117133	AT1G01300_1	1	+
chr1	119178	119528	AT1G01305_1	1	+
chr1	119919	120269	AT1G01310_1	1	+
chr1	135906	136256	AT1G01350_1	1	+
chr1	141767	142117	AT1G01360_1	1	+
chr1	149563	149913	AT1G01390_1	1	-
chr1	155819	156169	AT1G01420_1	1	-
chr1	168464	168814	AT1G01460_1	1	+
chr1	172692	173042	AT1G01470_1	1	-
chr1	175521	175871	AT1G01480_1	1	+
chr1	195572	195922	AT1G01540_1	1	+
chr1	199434	199784	AT1G01550_1	1	+
chr1	201861	202211	AT1G01560_1	1	+
chr1	209041	209391	AT1G01580_1	1	+
chr1	213928	214278	AT1G01590_1	1	+
chr1	218882	219232	AT1G01600_1	1	+
chr1	226986	227336	AT1G01620_1	1	-
chr1	232197	232547	AT1G01640_1	1	-
chr1	237494	237844	AT1G01650_1	1	-
chr1	248156	248506	AT1G01680_1	1	-
chr1	248905	249255	AT1G01690_1	1	+
chr1	261308	261658	AT1G01700_1	1	-
chr1	262645	262995	AT1G01710_1	1	+
chr1	268079	268429	AT1G01720_1	1	+
chr1	300593	300943	AT1G01830_1	1	-
chr1	310053	310403	AT1G01900_1	1	+
chr1	322621	322971	AT1G01930_1	1	-
chr1	325127	325477	AT1G01950_1	1	+
chr1	337541	337891	AT1G01960_1	1	-
chr1	341800	342150	AT1G01980_1	1	-
chr1	345555	345905	AT1G02000_1	1	+
chr1	347689	348039	AT1G02010_1	1	+
chr1	354252	354602	AT1G02020_1	1	-
chr1	360249	360599	AT1G02050_1	1	-
chr1	365316	365666	AT1G02065_1	1	+
chr1	370716	371066	AT1G02070_1	1	-
chr1	373250	373600	AT1G02080_1	1	+
chr1	392601	392951	AT1G02110_1	1	+
chr1	395506	395856	AT1G02120_1	1	+
chr1	410499	410849	AT1G02160_1	1	+
chr1	411508	411858	AT1G02170_1	1	+
chr1	414319	414669	AT1G02180_1	1	-
chr1	414823	415173	AT1G02190_1	1	+
chr1	418530	418880	AT1G02205_1	1	+
chr1	430418	430768	AT1G02220_1	1	-
chr1	436618	436968	AT1G02230_1	1	-
chr1	442730	443080	AT1G02260_1	1	-
chr1	452464	452814	AT1G02290_1	1	-
chr1	460453	460803	AT1G02310_1	1	-
chr1	463344	463694	AT1G02330_1	1	-
chr1	464673	465023	AT1G02335_1	1	-
chr1	472889	473239	AT1G02360_1	1	-
chr1	476878	477228	AT1G02380_1	1	+
chr1	480603	480953	AT1G02390_1	1	+
chr1	486650	487000	AT1G02400_1	1	+
chr1	490251	490601	AT1G02405_1	1	-
chr1	498270	498620	AT1G02450_1	1	-
chr1	506969	507319	AT1G02460_1	1	-
chr1	513356	513706	AT1G02470_1	1	-
chr1	516301	516651	AT1G02490_1	1	+
chr1	518003	518353	AT1G02500_1	1	+
chr1	535532	535882	AT1G02540_1	1	-
chr1	541062	541412	AT1G02570_1	1	+
chr1	542835	543185	AT1G02575_1	1	+
chr1	544503	544853	AT1G02580_1	1	+
chr1	562177	562527	AT1G02630_1	1	-
chr1	563952	564302	AT1G02640_1	1	+
chr1	574693	575043	AT1G02660_1	1	-
chr1	580406	580756	AT1G02680_1	1	+
chr1	584011	584361	AT1G02690_1	1	+
chr1	588088	588438	AT1G02700_1	1	+
chr1	601937	602287	AT1G02740_1	1	-
chr1	602302	602652	AT1G02750_1	1	+
chr1	606442	606792	AT1G02770_1	1	-
chr1	609183	609533	AT1G02780_1	1	-
chr1	612043	612393	AT1G02790_1	1	-
chr1	615937	616287	AT1G02800_1	1	-
chr1	618012	618362	AT1G02810_1	1	+
chr1	624223	624573	AT1G02820_1	1	-
chr1	635044	635394	AT1G02860_1	1	+
chr1	638397	638747	AT1G02870_1	1	-
chr1	654117	654467	AT1G02900_1	1	-
chr1	659520	659870	AT1G02920_1	1	-
chr1	662015	662365	AT1G02930_1	1	-
chr1	663886	664236	AT1G02940_1	1	-
chr1	666201	666551	AT1G02950_1	1	-
chr1	669554	669904	AT1G02960_1	1	-
chr1	673151	673501	AT1G02970_1	1	+
chr1	706380	706730	AT1G03040_1	1	-
chr1	729684	730034	AT1G03070_1	1	+
chr1	739436	739786	AT1G03090_1	1	+
chr1	748774	749124	AT1G03106_1	1	-
chr1	753924	754274	AT1G03130_1	1	-
chr1	761034	761384	AT1G03160_1	1	+
chr1	769381	769731	AT1G03170_1	1	+
chr1	773153	773503	AT1G03180_1	1	+
chr1	780268	780618	AT1G03200_1	1	+
chr1	786873	787223	AT1G03220_1	1	+
chr1	789826	790176	AT1G03230_1	1	+
chr1	795117	795467	AT1G03250_1	1	-
chr1	807152	807502	AT1G03290_1	1	+
chr1	813228	813578	AT1G03310_1	1	+
chr1	816723	817073	AT1G03320_1	1	+
chr1	826319	826669	AT1G03365_1	1	+
chr1	843991	844341	AT1G03400_1	1	-
chr1	847462	847812	AT1G03410_1	1	-
chr1	847656	848006	AT1G03430_1	1	+
chr1	867494	867844	AT1G03470_1	1	-
chr1	870951	871301	AT1G03475_1	1	-
chr1	877310	877660	AT1G03510_1	1	-
chr1	879854	880204	AT1G03520_1	1	-
chr1	883460	883810	AT1G03540_1	1	+
chr1	897150	897500	AT1G03590_1	1	-
chr1	898640	898990	AT1G03600_1	1	+
chr1	900930	901280	AT1G03610_1	1	+
chr1	907406	907756	AT1G03630_1	1	+
chr1	910942	911292	AT1G03650_1	1	-
chr1	911883	912233	AT1G03660_1	1	-
chr1	917767	918117	AT1G03680_1	1	-
chr1	920700	921050	AT1G03700_1	1	+
chr1	933462	933812	AT1G03740_1	1	+
chr1	944331	944681	AT1G03770_1	1	+
chr1	954274	954624	AT1G03790_1	1	+
chr1	957766	958116	AT1G03800_1	1	-
chr1	960477	960827	AT1G03820_1	1	-
chr1	966501	966851	AT1G03830_1	1	-
chr1	977510	977860	AT1G03850_1	1	-
chr1	983153	983503	AT1G03870_1	1	-
chr1	985505	985855	AT1G03880_1	1	+
chr1	993149	993499	AT1G03905_1	1	+
chr1	995867	996217	AT1G03910_1	1	+
chr1	1000914	1001264	AT1G03920_1	1	+
chr1	1017851	1018201	AT1G03970_1	1	+
chr1	1035939	1036289	AT1G04010_1	1	-
chr1	1040294	1040644	AT1G04030_1	1	+
chr1	1043613	1043963	AT1G04040_1	1	-
chr1	1050931	1051281	AT1G04070_1	1	-
chr1	1051129	1051479	AT1G04080_1	1	+
chr1	1059222	1059572	AT1G04100_1	1	+
chr1	1070676	1071026	AT1G04120_1	1	-
chr1	1080283	1080633	AT1G04140_1	1	-
chr1	1084056	1084406	AT1G04150_1	1	-
chr1	1096779	1097129	AT1G04170_1	1	+
chr1	1104457	1104807	AT1G04180_1	1	+
chr1	1108408	1108758	AT1G04190_1	1	-
chr1	1122334	1122684	AT1G04220_1	1	-
chr1	1129164	1129514	AT1G04240_1	1	-
chr1	1142800	1143150	AT1G04270_1	1	-
chr1	1146127	1146477	AT1G04280_1	1	-
chr1	1157514	1157864	AT1G04310_1	1	-
chr1	1161668	1162018	AT1G04330_1	1	-
chr1	1164566	1164916	AT1G04340_1	1	-
chr1	1168512	1168862	AT1G04360_1	1	-
chr1	1183399	1183749	AT1G04390_1	1	-
chr1	1191099	1191449	AT1G04410_1	1	-
chr1	1191362	1191712	AT1G04420_1	1	+
chr1	1198010	1198360	AT1G04430_1	1	+
chr1	1207034	1207384	AT1G04445_1	1	+
chr1	1214411	1214761	AT1G04470_1	1	-
chr1	1215847	1216197	AT1G04480_1	1	+
chr1	1219711	1220061	AT1G04490_1	1	-
chr1	1226328	1226678	AT1G04510_1	1	+
chr1	1231375	1231725	AT1G04520_1	1	+
chr1	1240236	1240586	AT1G04550_1	1	+
chr1	1244709	1245059	AT1G04560_1	1	+
chr1	1279137	1279487	AT1G04610_1	1	+
chr1	1286309	1286659	AT1G04620_1	1	-
chr1	1290827	1291177	AT1G04630_1	1	-
chr1	1291049	1291399	AT1G04635_1	1	+
chr1	1294012	1294362	AT1G04645_1	1	-
chr1	1298723	1299073	AT1G04650_1	1	-
chr1	1301114	1301464	AT1G04660_1	1	-
chr1	1307631	1307981	AT1G04680_1	1	-
chr1	1310280	1310630	AT1G04684_1	1	-
chr1	1321670	1322020	AT1G04710_1	1	+
chr1	1333282	1333632	AT1G04750_1	1	-
chr1	1339514	1339864	AT1G04778_1	1	+
chr1	1343427	1343777	AT1G04780_1	1	-
chr1	1344774	1345124	AT1G04790_1	1	+
chr1	1349052	1349402	AT1G04800_1	1	-
chr1	1364739	1365089	AT1G04840_1	1	-
chr1	1368526	1368876	AT1G04850_1	1	-
chr1	1372777	1373127	AT1G04860_1	1	-
chr1	1375469	1375819	AT1G04870_1	1	-
chr1	1390937	1391287	AT1G04910_1	1	-
chr1	1395613	1395963	AT1G04920_1	1	-
chr1	1398984	1399334	AT1G04940_1	1	+
chr1	1400657	1401007	AT1G04945_1	1	+
chr1	1407246	1407596	AT1G04950_1	1	-
chr1	1410527	1410877	AT1G04960_1	1	-
chr1	1410928	1411278	AT1G04970_1	1	+
chr1	1425339	1425689	AT1G05000_1	1	+
chr1	1432511	1432861	AT1G05010_1	1	-
chr1	1450605	1450955	AT1G05055_1	1	-
chr1	1455041	1455391	AT1G05065_1	1	-
chr1	1458446	1458796	AT1G05070_1	1	-
chr1	1462860	1463210	AT1G05090_1	1	+
chr1	1469353	1469703	AT1G05100_1	1	+
chr1	1486579	1486929	AT1G05150_1	1	-
chr1	1503529	1503879	AT1G05190_1	1	-
chr1	1510030	1510380	AT1G05205_1	1	-
chr1	1510168	1510518	AT1G05210_1	1	+
chr1	1518501	1518851	AT1G05230_1	1	-
chr1	1520886	1521236	AT1G05240_1	1	+
chr1	1526983	1527333	AT1G05250_1	1	-
chr1	1529517	1529867	AT1G05260_1	1	+
chr1	1553390	1553740	AT1G05320_1	1	+
chr1	1557849	1558199	AT1G05330_1	1	+
chr1	1559505	1559855	AT1G05340_1	1	-
chr1	1564351	1564701	AT1G05360_1	1	+
chr1	1572047	1572397	AT1G05370_1	1	-
chr1	1576608	1576958	AT1G05380_1	1	+
chr1	1583411	1583761	AT1G05385_1	1	-
chr1	1611314	1611664	AT1G05470_1	1	-
chr1	1623162	1623512	AT1G05490_1	1	-
chr1	1624758	1625108	AT1G05500_1	1	+
chr1	1635589	1635939	AT1G05520_1	1	-
chr1	1637650	1638000	AT1G05530_1	1	-
chr1	1641356	1641706	AT1G05550_1	1	-
chr1	1646898	1647248	AT1G05560_1	1	-
chr1	1659190	1659540	AT1G05570_1	1	-
chr1	1661933	1662283	AT1G05575_1	1	-
chr1	1668652	1669002	AT1G05580_1	1	-
chr1	1669125	1669475	AT1G05590_1	1	+
chr1	1675779	1676129	AT1G05610_1	1	-
chr1	1691928	1692278	AT1G05650_1	1	-
chr1	1695847	1696197	AT1G05660_1	1	-
chr1	1700765	1701115	AT1G05670_1	1	-
chr1	1702495	1702845	AT1G05675_1	1	-
chr1	1704440	1704790	AT1G05680_1	1	-
chr1	1714674	1715024	AT1G05710_1	1	+
chr1	1718288	1718638	AT1G05730_1	1	+
chr1	1721258	1721608	AT1G05750_1	1	+
chr1	1724243	1724593	AT1G05760_1	1	-
chr1	1726378	1726728	AT1G05780_1	1	+
chr1	1729998	1730348	AT1G05785_1	1	+
chr1	1732615	1732965	AT1G05790_1	1	+
chr1	1744529	1744879	AT1G05805_1	1	+
chr1	1748130	1748480	AT1G05810_1	1	+
chr1	1749474	1749824	AT1G05820_1	1	+
chr1	1761975	1762325	AT1G05835_1	1	+
chr1	1766028	1766378	AT1G05840_1	1	-
chr1	1768742	1769092	AT1G05860_1	1	+
chr1	1775391	1775741	AT1G05880_1	1	+
chr1	1779116	1779466	AT1G05890_1	1	+
chr1	1784517	1784867	AT1G05894_1	1	+
chr1	1786635	1786985	AT1G05900_1	1	+
chr1	1803731	1804081	AT1G05940_1	1	-
chr1	1807280	1807630	AT1G05950_1	1	-
chr1	1817038	1817388	AT1G05970_1	1	-
chr1	1821623	1821973	AT1G06000_1	1	-
chr1	1822353	1822703	AT1G06010_1	1	+
chr1	1824241	1824591	AT1G06020_1	1	+
chr1	1829598	1829948	AT1G06040_1	1	-
chr1	1832732	1833082	AT1G06060_1	1	+
chr1	1843314	1843664	AT1G06080_1	1	+
chr1	1847632	1847982	AT1G06090_1	1	+
chr1	1851221	1851571	AT1G06100_1	1	+
chr1	1854840	1855190	AT1G06110_1	1	-
chr1	1855656	1856006	AT1G06120_1	1	+
chr1	1860461	1860811	AT1G06130_1	1	-
chr1	1873467	1873817	AT1G06149_1	1	-
chr1	1873467	1873817	AT1G06150_1	1	-
chr1	1882751	1883101	AT1G06160_1	1	+
chr1	1889141	1889491	AT1G06180_1	1	+
chr1	1896684	1897034	AT1G06200_1	1	-
chr1	1896958	1897308	AT1G06210_1	1	+
chr1	1899713	1900063	AT1G06220_1	1	+
chr1	1905652	1906002	AT1G06225_1	1	+
chr1	1906841	1907191	AT1G06230_1	1	+
chr1	1910886	1911236	AT1G06240_1	1	+
chr1	1914684	1915034	AT1G06250_1	1	-
chr1	1916179	1916529	AT1G06260_1	1	+
chr1	1922101	1922451	AT1G06290_1	1	+
chr1	1933792	1934142	AT1G06340_1	1	-
chr1	1940208	1940558	AT1G06360_1	1	-
chr1	1944832	1945182	AT1G06380_1	1	+
chr1	1946566	1946916	AT1G06390_1	1	+
chr1	1952440	1952790	AT1G06400_1	1	-
chr1	1965591	1965941	AT1G06450_1	1	+
chr1	1969276	1969626	AT1G06460_1	1	-
chr1	1969480	1969830	AT1G06470_1	1	+
chr1	1974052	1974402	AT1G06475_1	1	-
chr1	1978469	1978819	AT1G06490_1	1	+
